svyid,filecode,record,number
240,EGGE4BFL,,980
240,egir4a,RECH0,10417
240,egir4a,RECH2,10089
248,ETGE52FL,,535
248,ETIR51,RECH0,14645
248,ETIR51,RECH2,13721
249,GNGE52FL,,295
249,gnir52,RECH0,6480
249,gnir52,RECH2,6282
251,MWGE4BFL,,521
251,MWIR4D,RECH0,15041
251,MWIR4D,RECH2,13664
252,RWGE54FL,,462
252,RWIR53,RECH0,10644
252,RWIR53,RECH2,10272
253,TZIR4I,RECH0,10312
253,TZIR4I,RECH2,9735
255,COIR53,RECH0,45794
255,COIR53,RECH2,37211
256,LSGE42FL,,405
256,LSIR41,RECH0,9903
256,LSIR41,RECH2,8592
257,KHGE51FL,,557
257,KHIR51,RECH0,15046
257,KHIR51,RECH2,14243
258,MBGE52FL,,400
258,MBIR53,RECH0,12206
258,MBIR53,RECH2,11095
259,SZGE53FL,,275
259,szir51,RECH0,5500
259,szir51,RECH2,4843
260,ZWGE52FL,,398
260,ZWIR51,RECH0,10752
260,ZWIR51,RECH2,9285
262,AMIR54,RECH0,7565
262,AMIR54,RECH2,6707
264,IAIR52,RECH0,116652
264,IAIR52,RECH2,109041
265,HNIR52,RECH0,21201
265,HNIR52,RECH2,18683
266,UGGE53FL,,368
266,UGIR52,RECH0,9864
266,UGIR52,RECH2,8870
267,CGIR51,RECH0,6012
267,CGIR51,RECH2,5879
268,NPGE53FL,,260
268,NPIR51,RECH0,9036
268,NPIR51,RECH2,8707
271,LBGE52FL,,298
271,LBIR51,RECH0,7471
271,LBIR51,RECH2,6824
272,EGGE52FL,,1359
272,egir51,RECH0,22807
272,egir51,RECH2,21972
273,PKGE51FL,,972
273,pkir52,RECH0,102037
273,pkir52,RECH2,13844
276,MLGE52FL,,407
276,MLIR53,RECH0,13695
276,MLIR53,RECH2,12998
277,NIIR51,RECH0,8418
277,NIIR51,RECH2,7660
278,ZMGE52FL,,319
278,ZMIR51,RECH0,7969
278,ZMIR51,RECH2,7164
279,AZIR52,RECH0,7619
279,AZIR52,RECH2,7180
280,UAIR51,RECH0,15004
280,UAIR51,RECH2,13379
282,AOGE52FL,,115
282,AOIR51,RECH0,2809
282,AOIR51,RECH2,2599
284,NMGE52FL,,500
284,nmir51,RECH0,9970
284,nmir51,RECH2,9200
287,BDGE52FL,,361
287,BDIR51,RECH0,10819
287,BDIR51,RECH2,10400
289,BJIR51,RECH0,17982
289,BJIR51,RECH2,17511
291,DRGE52FL,,1428
291,DRIR52,RECH0,36445
291,DRIR52,RECH2,32431
293,SNIR50,RECH0,3310
293,SNIR50,RECH2,3063
294,EGGE5DFL,,1267
294,EGIR5A,RECH0,19739
294,EGIR5A,RECH2,18968
295,JOGE52FL,,930
295,JOIR51,RECH0,14880
295,JOIR51,RECH2,14564
296,MDGE53FL,,594
296,MDIR51,RECH0,18985
296,MDIR51,RECH2,17857
297,IDIR51,RECH0,42341
297,IDIR51,RECH2,40701
298,PHGE52FL,,792
298,PHIR52,RECH0,13764
298,PHIR52,RECH2,12469
30,coir22,RECH0,8615
30,coir22,RECH2,7412
300,KEGE52FL,,398
300,KEIR52,RECH0,9936
300,KEIR52,RECH2,9057
301,GHGE5AFL,,411
301,GHIR5A,RECH0,12323
301,GHIR5A,RECH2,11778
302,NGGE52FL,,886
302,NGIR53,RECH0,36298
302,NGIR53,RECH2,34070
309,GYGE5JFL,,325
309,GYIR5I,RECH0,6376
309,GYIR5I,RECH2,5632
31,JOIR21,RECH0,10708
310,KHGE62FL,,611
310,KHIR61,RECH0,16344
310,KHIR61,RECH2,15667
311,CIGE61FL,,351
311,CIIR61,RECH0,10413
311,CIIR61,RECH2,9686
317,LSGE62FL,,400
317,LSIR60,RECH0,9994
317,LSIR60,RECH2,9391
318,STIR50,RECH0,3865
318,STIR50,RECH2,3536
319,BOGE53FL,,1000
319,BOIR51,RECH0,20003
319,BOIR51,RECH2,19564
32,NGGE23FL,,298
32,NGIR21,RECH0,9998
32,NGIR21,RECH2,8999
321,MVIR51,RECH0,7515
321,MVIR51,RECH2,6443
323,RWGE5BFL,,249
323,RWIR5A,RECH0,7469
323,RWIR5A,RECH2,7377
324,SLGE53FL,,353
324,SLIR51,RECH0,7758
324,SLIR51,RECH2,7284
326,TRIR4A,RECH0,13049
326,TRIR4A,RECH2,10836
327,ALGE51FL,,450
327,ALIR50,RECH0,8994
327,ALIR50,RECH2,7999
328,TGGE62FL,,330
328,TGIR61,RECH0,9899
328,TGIR61,RECH2,9549
329,BFGE61FL,,573
329,BFIR62,RECH0,14947
329,BFIR62,RECH2,14424
33,PYIR21,RECH0,6348
33,PYIR21,RECH2,5683
330,LBGE5CFL,,150
330,LBIR5A,RECH0,4485
330,LBIR5A,RECH2,4162
331,DRIR5A,RECH0,2884
331,DRIR5A,RECH2,2540
332,UGGE5AFL,,170
332,UGIR5H,RECH0,4760
332,UGIR5H,RECH2,4421
333,MWGE62FL,,849
333,MWIR61,RECH0,27307
